language,func,embedding,strategy,labeled,accuracy,ari,nmi,f1,recall
java,label_propagation,GraphCodeBERT,uniform,50,0.372724149776709,0.0644106108054915,0.382398589542854,0.405829608264247,0.3712472669293853
java,label_propagation,GraphCodeBERT,uniform,100,0.5912744761250429,0.2070253938627336,0.5833291349815914,0.651142193305095,0.5990898139896016
java,label_propagation,GraphCodeBERT,uniform,250,0.8608038474750945,0.6776081160607704,0.8154301221896063,0.8743472666920578,0.8598514223657103
java,label_propagation,GraphCodeBERT,uniform,500,0.9750601167983513,0.9527314149226488,0.96230450130433,0.9703976162738048,0.9697826291514058
java,label_propagation,GraphCodeBERT,random_then_entropy_1,50,0.372724149776709,0.0644106108054915,0.382398589542854,0.405829608264247,0.3712472669293853
java,label_propagation,GraphCodeBERT,random_then_entropy_1,100,0.5311233253177603,0.150378995023029,0.5265361446314613,0.5909340479778828,0.5386795860701634
java,label_propagation,GraphCodeBERT,random_then_entropy_1,250,0.8341463414634147,0.6127278720250378,0.7879454011288067,0.8538734844369529,0.8365365012643606
java,label_propagation,GraphCodeBERT,random_then_entropy_1,500,0.9743730676743388,0.953611515565054,0.961175799731656,0.9688657203340468,0.9720832179938268
java,label_propagation,GraphCodeBERT,random_then_entropy_2,50,0.372724149776709,0.0644106108054915,0.382398589542854,0.405829608264247,0.3712472669293853
java,label_propagation,GraphCodeBERT,random_then_entropy_2,100,0.5311233253177603,0.150378995023029,0.5265361446314613,0.5909340479778828,0.5386795860701634
java,label_propagation,GraphCodeBERT,random_then_entropy_2,250,0.7043971143936791,0.3472281885148598,0.6686538307449563,0.7492232750448627,0.7030258655249287
java,label_propagation,GraphCodeBERT,random_then_entropy_2,500,0.970113363105462,0.9445190460986668,0.951723417102472,0.9638162223410364,0.96399020294723
java,label_spreading,GraphCodeBERT,random,50,0.372724149776709,0.0644106108054915,0.382398589542854,0.405829608264247,0.3712472669293853
java,label_spreading,GraphCodeBERT,random,100,0.5311233253177603,0.150378995023029,0.5265361446314613,0.5909340479778828,0.5386795860701634
java,label_spreading,GraphCodeBERT,random,250,0.7043971143936791,0.3472281885148598,0.6686538307449563,0.7492232750448627,0.7030258655249287
java,label_spreading,GraphCodeBERT,random,500,0.8578838886980419,0.6678656863629708,0.8074681492931948,0.8701073885147868,0.8513623439774246
java,label_spreading,GraphCodeBERT,entropy,50,0.372724149776709,0.0644106108054915,0.382398589542854,0.405829608264247,0.3712472669293853
java,label_spreading,GraphCodeBERT,entropy,100,0.574166952937135,0.2546674965059236,0.6128546983306172,0.5914465157177153,0.5656502622050109
java,label_spreading,GraphCodeBERT,entropy,250,0.8488491927172793,0.7136864416364821,0.8494794278671416,0.8417705872106236,0.83394221620047
java,label_spreading,GraphCodeBERT,entropy,500,0.9835108210237034,0.9706944944047952,0.9762067103825092,0.9788465218188428,0.9789241000908816
java,label_spreading,GraphCodeBERT,uniform,50,0.372724149776709,0.0644106108054915,0.382398589542854,0.405829608264247,0.3712472669293853
java,label_spreading,GraphCodeBERT,uniform,100,0.5912744761250429,0.2070253938627336,0.5833291349815914,0.651142193305095,0.5990898139896016
java,label_spreading,GraphCodeBERT,uniform,250,0.8608038474750945,0.6776081160607704,0.8154301221896063,0.8743472666920578,0.8598514223657103
java,label_spreading,GraphCodeBERT,uniform,500,0.9750601167983513,0.9527314149226488,0.96230450130433,0.9703976162738048,0.9697826291514058
java,label_spreading,GraphCodeBERT,random_then_entropy_1,50,0.372724149776709,0.0644106108054915,0.382398589542854,0.405829608264247,0.3712472669293853
java,label_spreading,GraphCodeBERT,random_then_entropy_1,100,0.5311233253177603,0.150378995023029,0.5265361446314613,0.5909340479778828,0.5386795860701634
java,label_spreading,GraphCodeBERT,random_then_entropy_1,250,0.8341463414634147,0.6127278720250378,0.7879454011288067,0.8538734844369529,0.8365365012643606
java,label_spreading,GraphCodeBERT,random_then_entropy_1,500,0.9743730676743388,0.953611515565054,0.961175799731656,0.9688657203340468,0.9720832179938268
java,label_spreading,GraphCodeBERT,random_then_entropy_2,50,0.372724149776709,0.0644106108054915,0.382398589542854,0.405829608264247,0.3712472669293853
java,label_spreading,GraphCodeBERT,random_then_entropy_2,100,0.5311233253177603,0.150378995023029,0.5265361446314613,0.5909340479778828,0.5386795860701634
java,label_spreading,GraphCodeBERT,random_then_entropy_2,250,0.7043971143936791,0.3472281885148598,0.6686538307449563,0.7492232750448627,0.7030258655249287
java,label_spreading,GraphCodeBERT,random_then_entropy_2,500,0.9701820680178632,0.9446673294104556,0.9517559105818292,0.9638825788708708,0.9640545116289022
java,label_propagation,UniXcoder,random,50,0.3409824802473377,0.0445201059474414,0.3392132320502184,0.3745055298803114,0.3402380176340191
java,label_propagation,UniXcoder,random,100,0.5058742700103058,0.1223482816002954,0.4970599125512399,0.5691210070077337,0.5128706467608488
java,label_propagation,UniXcoder,random,250,0.6877361731363791,0.3149085571309103,0.6498925684450957,0.73559537385862,0.6850338313519326
java,label_propagation,UniXcoder,random,500,0.8512195121951219,0.6501571161169579,0.7988090174311745,0.8648427513440204,0.8445297028455672
java,label_propagation,UniXcoder,entropy,50,0.3409824802473377,0.0445201059474414,0.3392132320502184,0.3745055298803114,0.3402380176340191
java,label_propagation,UniXcoder,entropy,100,0.499725180350395,0.1695518482959716,0.5359611873180183,0.5254433840897493,0.4993135946679432
java,label_propagation,UniXcoder,entropy,250,0.7598763311576777,0.5255080116305217,0.7723009733725482,0.7734828374564789,0.7593273178576597
java,label_propagation,UniXcoder,entropy,500,0.9698041909996564,0.9468866467376528,0.9640339374266282,0.965271222985688,0.9679574242665352
java,label_propagation,UniXcoder,uniform,50,0.3409824802473377,0.0445201059474414,0.3392132320502184,0.3745055298803114,0.3402380176340191
java,label_propagation,UniXcoder,uniform,100,0.5700790106492615,0.1810801799833793,0.5609910256097447,0.6332882308726304,0.57823456746141
java,label_propagation,UniXcoder,uniform,250,0.8511508072827209,0.6513678728992117,0.8032405287840048,0.8675598592179108,0.8507201098719042
java,label_propagation,UniXcoder,uniform,500,0.9758845757471658,0.9557050867615148,0.9634438343828228,0.9707450199537104,0.9721176200868216
java,label_propagation,UniXcoder,random_then_entropy_1,50,0.3409824802473377,0.0445201059474414,0.3392132320502184,0.3745055298803114,0.3402380176340191
java,label_propagation,UniXcoder,random_then_entropy_1,100,0.5058742700103058,0.1223482816002954,0.4970599125512399,0.5691210070077337,0.5128706467608488
java,label_propagation,UniXcoder,random_then_entropy_1,250,0.8235657849536242,0.5870878333704003,0.7772047939648982,0.8460809404631148,0.8264514909149552
java,label_propagation,UniXcoder,random_then_entropy_1,500,0.9731707317073172,0.9510320089399318,0.9590083069921516,0.967630948435714,0.9706468650258852
java,label_propagation,UniXcoder,random_then_entropy_2,50,0.3409824802473377,0.0445201059474414,0.3392132320502184,0.3745055298803114,0.3402380176340191
java,label_propagation,UniXcoder,random_then_entropy_2,100,0.5058742700103058,0.1223482816002954,0.4970599125512399,0.5691210070077337,0.5128706467608488
java,label_propagation,UniXcoder,random_then_entropy_2,250,0.6877361731363791,0.3149085571309103,0.6498925684450957,0.73559537385862,0.6850338313519326
java,label_propagation,UniXcoder,random_then_entropy_2,500,0.9692889041566471,0.9427354828308604,0.9506717745374622,0.9629304160488406,0.9629650282512524
java,label_spreading,UniXcoder,random,50,0.3409824802473377,0.0445201059474414,0.3392132320502184,0.3745055298803114,0.3402380176340191
java,label_spreading,UniXcoder,random,100,0.5082102370319479,0.1234669061802134,0.5006445743087105,0.5725722827405171,0.5150725201007061
java,label_spreading,UniXcoder,random,250,0.6877361731363791,0.3149085571309103,0.6498925684450957,0.73559537385862,0.6850338313519326
java,label_spreading,UniXcoder,random,500,0.8512195121951219,0.6501571161169579,0.7988090174311745,0.8648427513440204,0.8445297028455672
java,label_spreading,UniXcoder,entropy,50,0.3409824802473377,0.0445201059474414,0.3392132320502184,0.3745055298803114,0.3402380176340191
java,label_spreading,UniXcoder,entropy,100,0.499725180350395,0.1695518482959716,0.5359611873180183,0.5254433840897493,0.4993135946679432
java,label_spreading,UniXcoder,entropy,250,0.7598763311576777,0.5255080116305217,0.7723009733725482,0.7734828374564789,0.7593273178576597
